Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Two Or More Races,Median Annual Household Income,Unemployed,Average Monthly SNAP Benefits per Participant,Per Capita State Spending,Governor Political Affiliation,Smoking Adults,Prescription Opioid Overdose Deaths,Child Access Prevention Firearm Law,Safe Storage or Gun Lock Requirment,Assault Weapons Ban,Disability Prevalence,Adults Reporting Any Mental Illness in the Past Year,Adults Reporting Serious Mental Illness in the Past Year,alcohol abuse in Teens Ages 12-17,alcohol abuse in Adults Ages 18+,Adult Overweight/Obesity Rate,Participation in Any Physical Activity,Any Provider Rate Increases,Provider Rate Increases__Inpatient Hospital Rate Increases,Provider Rate Increases__Outpatient Hospital Rate Increases,Provider Rate Increases__Physician Rate Increases,Provider Rate Increases__Dentist Rate Increases,Provider Rate Increases__MCO Rate Increases,Provider Rate Increases__Nursing Facility Rate Increases,Percentage of Adults Without A Usual Place of Medical Care,Does Not Have a Personal Doctor,Could Not See Doctor Because of Cost,Total CHCs,Service Delivery Sites,Patient Encounters or Visits,Total hospital beds per 1000
Alabama,0.66,0.27,0.04,N/A,N/A,N/A,0.01,"$47,221",0.06,$122.91,"$5,313",Republican,0.215,256,No,No,No,0.162,680000,156000,6000,163000,0.695,0.706,Yes,No,No,No,No,N/A,Yes,0.122,0.213,0.164,14,128,1084685,3.1
Alaska,0.6,0.03,0.07,0.05,0.17,0.02,0.07,"$75,723",0.066,$177.63,"$13,522",Independent,0.19,58,No,No,No,0.129,105000,24000,2000,38000,0.667,0.809,No,No,No,No,No,N/A,No,0.229,0.322,0.13,28,183,545430,2.2
Arizona,0.54,0.04,0.34,0.03,0.02,N/A,0.01,"$57,100",0.051,$121.71,"$5,725",Republican,0.147,466,No,No,No,0.132,902000,208000,13000,292000,0.632,0.769,Yes,Yes,No,No,No,Yes,No,0.231,0.267,0.136,21,159,2080644,1.9
Arkansas,0.72,0.15,0.07,N/A,0.01,N/A,0.02,"$45,907",0.04,$113.01,"$8,018",Republican,0.236,152,No,No,No,0.17,468000,121000,5000,118000,0.682,0.675,Yes,No,No,No,No,N/A,Yes,0.171,0.197,0.153,12,120,721288,3.2
California,0.38,0.05,0.39,0.15,0.01,0.01,0.02,"$66,637",0.053,$138.97,"$6,392",Democrat,0.11,1435,Yes,Yes,Yes,0.108,5072000,1068000,71000,2017000,0.61,0.795,Yes,No,No,No,Yes,No,Yes,0.189,0.24,0.114,176,1529,20078878,1.8
Colorado,0.7,0.04,0.19,0.04,N/A,N/A,0.02,"$70,566",0.032,$127.54,"$6,629",Democrat,0.156,312,Yes,No,No,0.104,832000,191000,11000,282000,0.581,0.842,Yes,Yes,Yes,Yes,Yes,No,Yes,0.2,0.256,0.12,20,202,2446065,1.9
Connecticut,0.67,0.1,0.16,0.05,N/A,<.01,N/A,"$75,923",0.048,$132.36,"$8,903",Democrat,0.133,666,Yes,Yes,Yes,0.111,500000,100000,8000,199000,0.618,0.787,Yes,No,No,No,No,N/A,Yes,0.101,0.148,0.099,16,250,1943325,2
Delaware,0.62,0.21,0.11,0.03,N/A,<.01,0.02,"$58,046",0.043,$124.63,"$10,751",Democrat,0.177,112,Yes,No,No,0.122,129000,31000,1000,48000,0.68,0.734,Yes,No,Yes,Yes,Yes,Yes,Yes,0.068,0.168,0.113,3,15,171842,2.2
District of Columbia,0.38,0.46,0.1,0.05,N/A,N/A,0.02,"$70,982",0.059,$130.26,N/A,Democrat,0.147,166,Yes,No,Yes,0.111,103000,21000,1000,49000,0.534,0.838,Yes,Yes,Yes,Yes,No,Yes,Yes,0.164,0.246,0.093,8,60,874310,5.1
Florida,0.55,0.15,0.26,0.03,<.01,N/A,0.01,"$51,176",0.049,$125.84,"$3,509",Republican,0.155,2423,Yes,No,No,0.137,2769000,570000,31000,949000,0.632,0.702,Yes,Yes,Yes,No,No,Yes,Yes,0.215,0.28,0.166,48,535,5276142,2.6
Georgia,0.52,0.32,0.1,0.04,N/A,N/A,0.02,"$53,527",0.054,$128.02,"$4,610",Republican,0.179,715,Yes,No,No,0.129,1341000,315000,15000,362000,0.658,0.706,Yes,No,No,Yes,No,Yes,Yes,0.174,0.273,0.166,35,225,1437176,2.4
Hawaii,0.19,0.02,0.1,0.39,N/A,0.17,0.14,"$72,133",0.03,$228.33,"$9,685",Democrat,0.131,61,Yes,No,Yes,0.111,165000,34000,2000,56000,0.576,0.792,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.1,0.153,0.074,14,75,715612,1.7
Idaho,0.82,0.01,0.13,0.02,N/A,N/A,0.01,"$56,564",0.038,$114.87,"$4,358",Republican,0.145,91,No,No,No,0.134,262000,60000,4000,72000,0.645,0.798,Yes,Yes,Yes,Yes,No,N/A,No,0.266,0.277,0.141,14,87,658290,2
Illinois,0.61,0.14,0.17,0.06,N/A,N/A,0.01,"$61,386",0.058,$132.37,"$4,245",Republican,0.158,1267,Yes,Yes,No,0.111,1526000,363000,23000,578000,0.65,0.761,Yes,No,No,No,No,Yes,No,0.169,0.179,0.112,45,402,4665853,2.5
Indiana,0.81,0.09,0.06,0.02,N/A,N/A,0.02,"$56,094",0.043,$120.06,"$4,735",Republican,0.211,495,Yes,No,No,0.138,988000,244000,11000,283000,0.672,0.732,Yes,No,No,No,No,Yes,No,0.148,0.183,0.126,25,183,1675508,2.6
Iowa,0.86,0.03,0.06,0.02,N/A,N/A,0.02,"$59,094",0.036,$111.11,"$7,367",Republican,0.167,136,Yes,No,No,0.12,418000,93000,6000,161000,0.687,0.773,Yes,No,No,No,No,No,Yes,0.124,0.166,0.077,14,72,680595,3
Kansas,0.74,0.06,0.14,0.02,N/A,N/A,0.03,"$56,810",0.043,$112.39,"$5,202",Republican,0.172,109,No,No,No,0.13,387000,93000,6000,115000,0.667,0.765,No,No,No,No,No,No,No,0.161,0.224,0.117,18,61,582658,3.3
Kentucky,0.84,0.08,0.05,N/A,N/A,N/A,N/A,"$45,369",0.05,$122.70,"$7,370",Republican,0.245,786,Yes,No,No,0.179,737000,175000,7000,191000,0.691,0.702,Yes,Yes,No,Yes,No,No,Yes,0.233,0.204,0.121,23,232,1609691,3.2
Louisiana,0.59,0.32,0.05,0.02,N/A,N/A,0.02,"$42,196",0.061,$134.32,"$5,924",Democrat,0.228,195,No,No,No,0.156,599000,157000,10000,240000,0.692,0.709,No,No,No,No,No,No,No,0.17,0.246,0.176,34,229,1409006,3
Maine,0.92,0.01,0.02,N/A,N/A,N/A,0.03,"$50,856",0.04,$112.24,"$6,038",Republican,0.198,285,No,No,No,0.157,187000,46000,2000,63000,0.652,0.794,Yes,No,No,No,No,N/A,Yes,0.126,0.119,0.108,18,130,818065,2.6
Maryland,0.53,0.29,0.11,0.05,N/A,N/A,0.02,"$73,760",0.042,$120.82,"$6,778",Republican,0.137,1508,Yes,Yes,Yes,0.11,758000,156000,9000,290000,0.646,0.769,Yes,Yes,Yes,Yes,Yes,Yes,No,0.146,0.152,0.108,17,126,1478011,1.9
Massachusetts,0.72,0.07,0.12,0.07,N/A,N/A,0.01,"$72,266",0.033,$127.24,"$8,997",Republican,0.136,1743,Yes,Yes,Yes,0.116,1034000,231000,12000,426000,0.602,0.8,Yes,Yes,Yes,No,No,Yes,Yes,0.075,0.111,0.088,39,288,3839821,2.3
Michigan,0.75,0.14,0.05,0.03,N/A,N/A,0.02,"$57,091",0.05,$122.58,"$5,481",Republican,0.204,1382,No,Yes,No,0.145,1320000,339000,18000,465000,0.675,0.761,Yes,No,No,No,No,Yes,Yes,0.143,0.148,0.128,39,262,2554782,2.5
Minnesota,0.8,0.06,0.06,0.04,N/A,N/A,0.02,"$70,218",0.04,$104.88,"$6,666",Democrat,0.152,275,Yes,No,No,0.109,759000,177000,9000,254000,0.648,0.82,Yes,No,Yes,Yes,Yes,No,Yes,0.143,0.273,0.095,16,77,675680,2.6
Mississippi,0.58,0.37,0.03,N/A,N/A,N/A,0.01,"$41,099",0.057,$116.48,"$6,614",Republican,0.227,139,Yes,No,No,0.161,385000,86000,4000,107000,0.713,0.697,Yes,No,Yes,No,No,Yes,Yes,0.193,0.226,0.192,21,203,887060,4
Missouri,0.79,0.11,0.04,0.02,N/A,N/A,0.03,"$55,016",0.047,$121.60,"$4,042",Republican,0.221,664,Yes,No,No,0.145,828000,192000,10000,283000,0.672,0.751,Yes,Yes,No,Yes,Yes,Yes,Yes,0.161,0.221,0.134,28,228,1925230,3
Montana,0.89,0.01,0.03,0.01,N/A,N/A,0.03,"$57,075",0.041,$118.87,"$6,124",Democrat,0.185,33,No,No,No,0.146,164000,43000,2000,61000,0.627,0.801,Yes,Yes,Yes,Yes,Yes,N/A,Yes,0.158,0.264,0.113,17,79,407084,3.5
Nebraska,0.78,0.04,0.13,0.03,N/A,<.01,0.02,"$59,374",0.033,$114.05,"$6,088",Republican,0.17,37,No,No,No,0.12,258000,58000,4000,88000,0.685,0.776,Yes,Yes,Yes,Yes,Yes,No,Yes,0.171,0.191,0.121,7,48,296136,3.4
Nevada,0.52,0.09,0.27,0.08,N/A,N/A,0.03,"$55,431",0.054,$119.29,"$4,394",Republican,0.165,305,Yes,No,No,0.131,404000,93000,6000,124000,0.623,0.753,Yes,Yes,No,Yes,No,Yes,No,0.267,0.308,0.16,5,35,275210,1.9
New Hampshire,0.92,0.01,0.03,0.02,N/A,N/A,0.02,"$76,260",0.028,$102.03,"$4,371",Republican,0.18,423,Yes,No,No,0.128,204000,53000,2000,67000,0.635,0.807,Yes,No,No,No,No,Yes,No,0.116,0.121,0.103,11,42,380772,2.1
New Jersey,0.58,0.13,0.18,0.11,N/A,N/A,N/A,"$68,468",0.049,$115.82,"$6,321",Democrat,0.14,981,Yes,Yes,Yes,0.104,1062000,244000,15000,350000,0.638,0.702,Yes,Yes,No,Yes,No,Yes,Yes,0.159,0.177,0.128,23,144,1892603,2.3
New Mexico,0.37,0.02,0.46,N/A,N/A,N/A,0.01,"$48,451",0.068,$122.62,"$8,690",Republican,0.166,239,No,No,No,0.152,298000,69000,5000,115000,0.649,0.797,Yes,No,No,No,No,No,Yes,0.208,0.299,0.128,17,195,1482714,1.8
New York,0.57,0.14,0.18,0.09,<.01,N/A,0.01,"$61,437",0.049,$138.20,"$7,633",Democrat,0.142,2337,No,Yes,Yes,0.115,2692000,626000,31000,986000,0.608,0.737,Yes,Yes,Yes,Yes,No,Yes,Yes,0.121,0.166,0.112,65,654,9468465,2.7
North Carolina,0.61,0.21,0.1,0.03,N/A,N/A,0.02,"$53,764",0.051,$119.49,"$4,380",Democrat,0.179,1162,Yes,No,No,0.139,1440000,358000,13000,376000,0.668,0.767,No,No,No,No,No,N/A,No,0.162,0.212,0.162,38,229,1771333,2.1
North Dakota,0.85,0.03,0.04,N/A,0.04,N/A,0.03,"$60,184",0.031,$120.89,"$9,841",Republican,0.198,36,No,No,No,0.113,97000,23000,1000,42000,0.681,0.778,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.119,0.261,0.082,4,22,133261,4.3
Ohio,0.78,0.12,0.04,0.02,N/A,N/A,0.03,"$53,985",0.05,$124.12,"$5,808",Republican,0.225,2875,No,Yes,No,0.141,1741000,453000,20000,571000,0.663,0.741,Yes,No,No,Yes,Yes,No,Yes,0.156,0.173,0.107,45,271,2326809,2.9
Oklahoma,0.64,0.07,0.12,N/A,0.08,N/A,0.06,"$50,943",0.05,$120.42,"$5,790",Republican,0.196,392,Yes,No,No,0.164,545000,132000,7000,167000,0.688,0.715,No,No,No,No,No,N/A,No,0.196,0.247,0.154,20,98,699203,2.8
Oregon,0.75,0.02,0.14,0.04,N/A,N/A,0.04,"$59,135",0.049,$121.68,"$9,104",Democrat,0.162,198,No,No,No,0.147,714000,164000,8000,236000,0.626,0.828,Yes,No,No,No,No,No,Yes,0.237,0.214,0.11,31,212,1723557,1.6
Pennsylvania,0.76,0.11,0.07,0.04,N/A,N/A,0.02,"$60,979",0.055,$122.02,"$5,973",Democrat,0.18,1793,No,Yes,No,0.144,1861000,416000,20000,590000,0.654,0.771,Yes,No,No,No,No,Yes,No,0.127,0.142,0.111,44,264,2660676,2.9
Rhode Island,0.72,0.06,0.16,0.04,N/A,N/A,N/A,"$61,528",0.053,$132.49,"$8,166",Democrat,0.144,245,Yes,Yes,No,0.134,160000,35000,2000,60000,0.637,0.756,Yes,No,No,No,No,Yes,No,0.101,0.128,0.103,8,55,683021,2.1
South Carolina,0.65,0.26,0.05,0.02,N/A,N/A,N/A,"$54,336",0.045,$126.51,"$4,626",Republican,0.2,540,No,No,No,0.15,677000,149000,8000,228000,0.674,0.731,Yes,No,No,No,No,Yes,No,0.187,0.216,0.158,22,176,1386551,2.5
South Dakota,0.82,0.02,0.05,N/A,N/A,<.01,0.02,"$57,450",0.029,$125.53,"$4,821",Republican,0.181,33,No,No,No,0.12,113000,26000,2000,49000,0.669,0.811,Yes,Yes,Yes,Yes,Yes,N/A,Yes,0.121,0.24,0.089,5,48,239716,4.7
Tennessee,0.73,0.17,0.06,0.02,N/A,N/A,0.02,"$51,344",0.049,$125.18,"$4,801",Republican,0.221,1009,Yes,No,No,0.156,986000,250000,9000,270000,0.686,0.716,No,No,No,No,No,No,No,0.143,0.22,0.124,29,182,1413029,2.9
Texas,0.43,0.12,0.38,0.05,<.01,N/A,0.01,"$58,146",0.047,$117.39,"$4,406",Republican,0.143,797,Yes,No,No,0.118,3196000,650000,57000,1082000,0.684,0.748,Yes,Yes,Yes,No,No,Yes,No,0.254,0.311,0.179,73,466,4918538,2.2
Utah,0.79,0.01,0.14,0.02,N/A,N/A,0.02,"$67,481",0.033,$114.44,"$4,471",Republican,0.088,395,Yes,No,No,0.099,464000,108000,6000,96000,0.604,0.843,Yes,No,No,Yes,Yes,Yes,Yes,0.165,0.273,0.117,13,56,496233,1.8
Vermont,0.94,0.01,0.01,N/A,N/A,N/A,0.02,"$60,837",0.032,$121.76,"$8,905",Republican,0.17,80,No,No,No,0.143,104000,27000,1000,36000,0.617,0.805,Yes,No,No,Yes,No,N/A,Yes,0.028,0.12,0.082,11,66,677293,2
Virginia,0.61,0.18,0.11,0.07,N/A,N/A,0.03,"$66,451",0.041,$117.93,"$5,836",Democrat,0.153,921,Yes,No,No,0.117,1261000,291000,13000,383000,0.655,0.767,Yes,No,Yes,No,No,Yes,No,0.159,0.221,0.134,26,145,1093227,2.1
Washington,0.66,0.03,0.14,0.1,N/A,N/A,0.04,"$70,310",0.053,$119.71,"$5,733",Democrat,0.139,452,No,No,No,0.131,1139000,264000,12000,333000,0.635,0.824,Yes,No,No,No,No,Yes,Yes,0.197,0.243,0.101,27,306,4188973,1.7
West Virginia,0.93,0.03,0.01,N/A,N/A,<.01,N/A,"$44,354",0.059,$116.32,"$8,832",Republican,0.248,640,No,No,No,0.198,300000,74000,3000,67000,0.709,0.715,Yes,Yes,No,No,No,Yes,Yes,0.213,0.195,0.146,27,301,1682705,3.7
Wisconsin,0.8,0.06,0.08,0.03,N/A,<.01,0.02,"$59,817",0.042,$105.63,"$7,914",Republican,0.171,595,Yes,No,No,0.12,817000,187000,12000,336000,0.662,0.8,Yes,Yes,Yes,No,No,No,No,0.095,0.171,0.104,17,115,1147896,2.1
Wyoming,0.86,0.01,0.09,N/A,N/A,N/A,0.02,"$57,829",0.051,$119.41,"$8,738",Republican,0.189,30,No,No,No,0.141,85000,20000,1000,30000,0.642,0.769,Yes,No,No,No,No,N/A,Yes,0.236,0.311,0.144,6,10,53786,2.9